"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30113","Mouse Double Click","webkit","Tue Nov 11 21:47:07 PKT 2025","broken","Tue Nov 11 21:47:37 PKT 2025","","MouseDoubleclick.spec.js","",""
"","15867","Window Handles by clicking link","firefox","Tue Nov 11 21:46:26 PKT 2025","passed","Tue Nov 11 21:46:41 PKT 2025","","WindowsHandle.spec.js","",""
"","15994","Handle Frames/iFrames in Playwright","webkit","Tue Nov 11 21:47:02 PKT 2025","passed","Tue Nov 11 21:47:18 PKT 2025","","iFrames.spec.js","",""
"","11214","Drag colum A to colum B and verify them","webkit","Tue Nov 11 21:46:46 PKT 2025","failed","Tue Nov 11 21:46:57 PKT 2025","","DragAndDrop.spec.js","",""
"","75039","Handle Table and pagination","webkit","Tue Nov 11 21:47:38 PKT 2025","broken","Tue Nov 11 21:48:53 PKT 2025","","Table.spec.js","",""
"","9927","Complete Flow: Login → Add Product to Cart → Logout","webkit","Tue Nov 11 21:47:21 PKT 2025","failed","Tue Nov 11 21:47:31 PKT 2025","DemoBlaze E-commerce with POM","POM.spec.js","",""
"","5580","simple file upload verification","webkit","Tue Nov 11 21:47:14 PKT 2025","failed","Tue Nov 11 21:47:19 PKT 2025","","MultiSelectDropdown.spec.js","",""
"","5707","Drag colum A to colum B and verify them","chromium","Tue Nov 11 21:43:24 PKT 2025","passed","Tue Nov 11 21:43:30 PKT 2025","","DragAndDrop.spec.js","",""
"","12638","Upload single file.","firefox","Tue Nov 11 21:46:10 PKT 2025","failed","Tue Nov 11 21:46:22 PKT 2025","","upload.spec.js","",""
"","3985","Take screenshot of Homepage","chromium","Tue Nov 11 21:44:10 PKT 2025","passed","Tue Nov 11 21:44:14 PKT 2025","","screenshots.spec.js","",""
"","30117","Handle Table and pagination","chromium","Tue Nov 11 21:44:15 PKT 2025","broken","Tue Nov 11 21:44:45 PKT 2025","","Table.spec.js","",""
"","10922","Mouse Right Click","firefox","Tue Nov 11 21:45:25 PKT 2025","passed","Tue Nov 11 21:45:36 PKT 2025","","MouseRightClick.spec.js","",""
"","7977","Mouse Right Click","chromium","Tue Nov 11 21:43:47 PKT 2025","passed","Tue Nov 11 21:43:55 PKT 2025","","MouseRightClick.spec.js","",""
"","74319","Handle Date Picker by Navigation and Selection","webkit","Tue Nov 11 21:47:39 PKT 2025","broken","Tue Nov 11 21:48:53 PKT 2025","","test.spec.js","",""
"","12162","Upload single file.","webkit","Tue Nov 11 21:47:40 PKT 2025","failed","Tue Nov 11 21:47:53 PKT 2025","","upload.spec.js","",""
"","30194","Handle Date Picker by Navigation and Selection","webkit","Tue Nov 11 21:46:39 PKT 2025","broken","Tue Nov 11 21:47:09 PKT 2025","","DatePicker.spec.js","",""
"","4635","get started link","chromium","Tue Nov 11 21:43:24 PKT 2025","passed","Tue Nov 11 21:43:29 PKT 2025","","example.spec.ts","",""
"","21249","Complete Flow: Login → Add Product to Cart → Logout","firefox","Tue Nov 11 21:45:52 PKT 2025","passed","Tue Nov 11 21:46:13 PKT 2025","DemoBlaze E-commerce with POM","pomTestFile.spec.js","",""
"","7158","Testcase 1","webkit","Tue Nov 11 21:46:51 PKT 2025","passed","Tue Nov 11 21:46:58 PKT 2025","Demoblaze website automation and testcase grouping by hooks","GroupingTestcases.spec.js","",""
"","9411","Testcase 1","firefox","Tue Nov 11 21:45:05 PKT 2025","passed","Tue Nov 11 21:45:14 PKT 2025","Demoblaze website automation and testcase grouping by hooks","GroupingTestcases.spec.js","",""
"","7765","Test 1: Should display all product categories on homepage","firefox","Tue Nov 11 21:45:14 PKT 2025","failed","Tue Nov 11 21:45:22 PKT 2025","DemoBlaze E-commerce Tests with Hooks","Hooks.spec.js","",""
"","8859","Complete Flow: Login → Add Product to Cart → Logout","chromium","Tue Nov 11 21:43:59 PKT 2025","failed","Tue Nov 11 21:44:07 PKT 2025","DemoBlaze E-commerce with POM","POM.spec.js","",""
"","4796","Take screenshot of FullPage","firefox","Tue Nov 11 21:45:55 PKT 2025","passed","Tue Nov 11 21:45:59 PKT 2025","","screenshots.spec.js","",""
"","30298","Handle Date Picker by Navigation and Selection","firefox","Tue Nov 11 21:46:15 PKT 2025","broken","Tue Nov 11 21:46:45 PKT 2025","","test.spec.js","",""
"","4894","Take screenshot of Specific Element","webkit","Tue Nov 11 21:47:40 PKT 2025","passed","Tue Nov 11 21:47:45 PKT 2025","","screenshots.spec.js","",""
"","19073","Window Handles independently","webkit","Tue Nov 11 21:47:45 PKT 2025","passed","Tue Nov 11 21:48:04 PKT 2025","","WindowsHandle.spec.js","",""
"","30003","Window Handles independently","chromium","Tue Nov 11 21:44:18 PKT 2025","broken","Tue Nov 11 21:44:48 PKT 2025","","WindowsHandle.spec.js","",""
"","9779","Take screenshot of Homepage","firefox","Tue Nov 11 21:45:57 PKT 2025","passed","Tue Nov 11 21:46:06 PKT 2025","","screenshots.spec.js","",""
"","30117","Mouse Double Click","chromium","Tue Nov 11 21:43:41 PKT 2025","broken","Tue Nov 11 21:44:12 PKT 2025","","MouseDoubleclick.spec.js","",""
"","14072","Simulate keyboard actions (Select, Copy, Tab, Paste)","firefox","Tue Nov 11 21:45:27 PKT 2025","passed","Tue Nov 11 21:45:41 PKT 2025","","KeyboardActions.spec.js","",""
"","6601","Complete Flow: Login → Add Product to Cart → Logout","firefox","Tue Nov 11 21:45:44 PKT 2025","failed","Tue Nov 11 21:45:51 PKT 2025","DemoBlaze E-commerce with POM","POM.spec.js","",""
"","5489","Take screenshot of Specific Element","firefox","Tue Nov 11 21:45:59 PKT 2025","passed","Tue Nov 11 21:46:05 PKT 2025","","screenshots.spec.js","",""
"","5159","Testcase 1","chromium","Tue Nov 11 21:43:29 PKT 2025","passed","Tue Nov 11 21:43:34 PKT 2025","Demoblaze website automation and testcase grouping by hooks","GroupingTestcases.spec.js","",""
"","30531","Handle Date Picker by Navigation and Selection","firefox","Tue Nov 11 21:44:47 PKT 2025","broken","Tue Nov 11 21:45:18 PKT 2025","","DatePicker.spec.js","",""
"","8694","Testcase 2","firefox","Tue Nov 11 21:45:11 PKT 2025","passed","Tue Nov 11 21:45:20 PKT 2025","Demoblaze website automation and testcase grouping by hooks","GroupingTestcases.spec.js","",""
"","5332","Take screenshot of FullPage","webkit","Tue Nov 11 21:47:32 PKT 2025","passed","Tue Nov 11 21:47:38 PKT 2025","","screenshots.spec.js","",""
"","14320","Drag colum A to colum B and verify them","firefox","Tue Nov 11 21:44:49 PKT 2025","passed","Tue Nov 11 21:45:03 PKT 2025","","DragAndDrop.spec.js","",""
"","17011","should interact with an element inside a nested child frame","chromium","Tue Nov 11 21:43:55 PKT 2025","passed","Tue Nov 11 21:44:12 PKT 2025","","NestedFram.spec.js","",""
"","8694","Mouse Right Click","webkit","Tue Nov 11 21:47:13 PKT 2025","passed","Tue Nov 11 21:47:22 PKT 2025","","MouseRightClick.spec.js","",""
"","30012","Window Handles independently","firefox","Tue Nov 11 21:46:15 PKT 2025","broken","Tue Nov 11 21:46:45 PKT 2025","","WindowsHandle.spec.js","",""
"","30776","Mouse Double Click","firefox","Tue Nov 11 21:45:29 PKT 2025","broken","Tue Nov 11 21:45:59 PKT 2025","","MouseDoubleclick.spec.js","",""
"","30191","Handle Table and pagination","firefox","Tue Nov 11 21:46:05 PKT 2025","broken","Tue Nov 11 21:46:35 PKT 2025","","Table.spec.js","",""
"","8563","Test 2: Should filter and display only Laptops when category is selected","firefox","Tue Nov 11 21:45:17 PKT 2025","passed","Tue Nov 11 21:45:25 PKT 2025","DemoBlaze E-commerce Tests with Hooks","Hooks.spec.js","",""
"","4280","Take screenshot of Homepage","webkit","Tue Nov 11 21:47:34 PKT 2025","passed","Tue Nov 11 21:47:38 PKT 2025","","screenshots.spec.js","",""
"","3784","Take screenshot of Specific Element","chromium","Tue Nov 11 21:44:12 PKT 2025","passed","Tue Nov 11 21:44:16 PKT 2025","","screenshots.spec.js","",""
"","18543","Handle Frames/iFrames in Playwright","chromium","Tue Nov 11 21:43:34 PKT 2025","passed","Tue Nov 11 21:43:53 PKT 2025","","iFrames.spec.js","",""
"","7899","Testcase 2","webkit","Tue Nov 11 21:46:54 PKT 2025","passed","Tue Nov 11 21:47:02 PKT 2025","Demoblaze website automation and testcase grouping by hooks","GroupingTestcases.spec.js","",""
"","9506","has title","firefox","Tue Nov 11 21:44:59 PKT 2025","passed","Tue Nov 11 21:45:08 PKT 2025","","example.spec.ts","",""
"","12859","Upload single file.","chromium","Tue Nov 11 21:44:18 PKT 2025","failed","Tue Nov 11 21:44:31 PKT 2025","","upload.spec.js","",""
"","30144","Handle Date Picker by Navigation and Selection","chromium","Tue Nov 11 21:43:24 PKT 2025","broken","Tue Nov 11 21:43:54 PKT 2025","","DatePicker.spec.js","",""
"","8668","get started link","firefox","Tue Nov 11 21:44:59 PKT 2025","passed","Tue Nov 11 21:45:08 PKT 2025","","example.spec.ts","",""
"","4423","Test 1: Should display all product categories on homepage","chromium","Tue Nov 11 21:43:31 PKT 2025","passed","Tue Nov 11 21:43:35 PKT 2025","DemoBlaze E-commerce Tests with Hooks","Hooks.spec.js","",""
"","17318","Complete Flow: Login → Add Product to Cart → Logout","chromium","Tue Nov 11 21:44:01 PKT 2025","passed","Tue Nov 11 21:44:18 PKT 2025","DemoBlaze E-commerce with POM","pomTestFile.spec.js","",""
"","14897","should interact with an element inside a nested child frame","firefox","Tue Nov 11 21:45:40 PKT 2025","passed","Tue Nov 11 21:45:55 PKT 2025","","NestedFram.spec.js","",""
"","14321","should interact with an element inside a nested child frame","webkit","Tue Nov 11 21:47:18 PKT 2025","passed","Tue Nov 11 21:47:32 PKT 2025","","NestedFram.spec.js","",""
"","15873","Window Handles by clicking link","chromium","Tue Nov 11 21:44:33 PKT 2025","passed","Tue Nov 11 21:44:49 PKT 2025","","WindowsHandle.spec.js","",""
"","57887","Window Handles by clicking link","webkit","Tue Nov 11 21:47:55 PKT 2025","broken","Tue Nov 11 21:48:53 PKT 2025","","WindowsHandle.spec.js","",""
"","19352","Handle Frames/iFrames in Playwright","firefox","Tue Nov 11 21:45:20 PKT 2025","passed","Tue Nov 11 21:45:40 PKT 2025","","iFrames.spec.js","",""
"","5728","Test 1: Should display all product categories on homepage","webkit","Tue Nov 11 21:47:01 PKT 2025","passed","Tue Nov 11 21:47:06 PKT 2025","DemoBlaze E-commerce Tests with Hooks","Hooks.spec.js","",""
"","7122","Test 2: Should filter and display only Laptops when category is selected","webkit","Tue Nov 11 21:46:58 PKT 2025","passed","Tue Nov 11 21:47:06 PKT 2025","DemoBlaze E-commerce Tests with Hooks","Hooks.spec.js","",""
